epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.77484,1.36579,3.50359,1.62492,0.01587,1,0.33167,0.26533,0.4545,3.67425,1.12158,0,0,0,0,0,0,0,0
2,9.1231,1.28145,3.44935,1.65413,0.01613,1,0.4975,0.2985,0.40594,3.64169,1.10279,3.67575e-05,1.22525e-05,3.67575e-05,1.22525e-05,3.67575e-05,1.22525e-05,3.67575e-05,1.22525e-05
3,13.5314,0.73054,3.15338,1.33426,0.01613,1,0.4975,0.2985,0.39986,3.64264,1.10214,7.203e-05,2.401e-05,7.203e-05,2.401e-05,7.203e-05,2.401e-05,7.203e-05,2.401e-05
4,17.9055,0.77077,3.17226,1.45645,0.01639,1,0.4975,0.28192,0.41701,3.64864,1.10735,0.000105818,3.52725e-05,0.000105818,3.52725e-05,0.000105818,3.52725e-05,0.000105818,3.52725e-05
5,22.2962,1.49718,3.4854,1.85884,0.01667,1,0.4975,0.24875,0.3909,3.64386,1.09716,0.00013812,4.604e-05,0.00013812,4.604e-05,0.00013812,4.604e-05,0.00013812,4.604e-05
6,26.5343,1.12764,3.40835,1.5912,0.01667,1,0.4975,0.24875,0.35064,3.61507,1.0878,0.000168938,5.63125e-05,0.000168938,5.63125e-05,0.000168938,5.63125e-05,0.000168938,5.63125e-05
7,30.6726,0.98936,3.25048,1.31601,0.01639,1,0.4975,0.23631,0.34812,3.6046,1.08801,0.00019827,6.609e-05,0.00019827,6.609e-05,0.00019827,6.609e-05,0.00019827,6.609e-05
8,34.8159,1.15683,3.32637,1.67875,0.01639,1,0.4975,0.23631,0.32956,3.58383,1.08746,0.000226117,7.53725e-05,0.000226117,7.53725e-05,0.000226117,7.53725e-05,0.000226117,7.53725e-05
9,38.9749,0.78214,3.54115,1.42969,0.01639,1,0.4975,0.23631,0.30166,3.59086,1.08147,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05
10,43.1729,1.04938,3.42668,1.37652,0.01695,1,0.4975,0.21257,0.3067,3.58358,1.08437,0.000277358,9.24525e-05,0.000277358,9.24525e-05,0.000277358,9.24525e-05,0.000277358,9.24525e-05
11,47.3725,1.03438,3.48139,1.66943,0.01695,1,0.4975,0.19448,0.31804,3.58008,1.08003,0.00030075,0.00010025,0.00030075,0.00010025,0.00030075,0.00010025,0.00030075,0.00010025
12,51.7257,1.23667,3.37601,1.28989,0.01724,1,0.4975,0.20453,0.32692,3.59396,1.09348,0.000322658,0.000107553,0.000322658,0.000107553,0.000322658,0.000107553,0.000322658,0.000107553
13,56.1003,0.8732,3.39454,1.4955,0.01754,1,0.33167,0.15162,0.34971,3.59792,1.09234,0.00034308,0.00011436,0.00034308,0.00011436,0.00034308,0.00011436,0.00034308,0.00011436
14,60.5387,0.94283,3.24103,1.5584,0.01786,1,0.24875,0.10515,0.37972,3.5807,1.09679,0.000362018,0.000120672,0.000362018,0.000120672,0.000362018,0.000120672,0.000362018,0.000120672
15,64.8968,0.90662,3.18296,1.24996,0.02041,1,0.24875,0.08028,0.41092,3.58813,1.10719,0.00037947,0.00012649,0.00037947,0.00012649,0.00037947,0.00012649,0.00037947,0.00012649
16,69.262,0.85665,3.23915,1.27311,0.02,1,0.24875,0.10342,0.43823,3.59442,1.11858,0.000395437,0.000131813,0.000395437,0.000131813,0.000395437,0.000131813,0.000395437,0.000131813
17,73.627,1.03953,3.47169,1.36274,0.01961,1,0.24875,0.08352,0.4622,3.59601,1.12217,0.00040992,0.00013664,0.00040992,0.00013664,0.00040992,0.00013664,0.00040992,0.00013664
18,74.156,1.49439,3.6037,1.80416,0.01961,1,0.24875,0.08352,0.4622,3.59601,1.12217,0.000422917,0.000140972,0.000422917,0.000140972,0.000422917,0.000140972,0.000422917,0.000140972
19,78.6525,0.67217,3.27865,1.30175,0.01961,1,0.199,0.10312,0.47835,3.603,1.13152,0.00043443,0.00014481,0.00043443,0.00014481,0.00043443,0.00014481,0.00043443,0.00014481
20,79.3055,0.76146,3.14575,1.29753,0.01961,1,0.199,0.10312,0.47835,3.603,1.13152,0.000444458,0.000148153,0.000444458,0.000148153,0.000444458,0.000148153,0.000444458,0.000148153
21,83.7232,0.8476,3.51791,1.39289,0.01887,1,0.199,0.11719,0.4784,3.60217,1.13429,0.000453,0.000151,0.000453,0.000151,0.000453,0.000151,0.000453,0.000151
