epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,84.3182,0.67498,3.18251,1.31701,0.01887,1,0.199,0.11719,0.4784,3.60217,1.13429,0.000460057,0.000153353,0.000460057,0.000153353,0.000460057,0.000153353,0.000460057,0.000153353
23,88.7567,1.14388,3.29094,1.398,0.01852,1,0.199,0.11719,0.48363,3.60476,1.13907,0.00046563,0.00015521,0.00046563,0.00015521,0.00046563,0.00015521,0.00046563,0.00015521
24,89.3174,0.75845,3.48167,1.19172,0.01852,1,0.199,0.11719,0.48363,3.60476,1.13907,0.000469718,0.000156573,0.000469718,0.000156573,0.000469718,0.000156573,0.000469718,0.000156573
25,93.5303,0.85572,3.33938,1.12344,0.01923,1,0.199,0.10945,0.52407,3.62068,1.15897,0.00047232,0.00015744,0.00047232,0.00015744,0.00047232,0.00015744,0.00047232,0.00015744
26,94.078,0.79124,3.18002,1.31043,0.01923,1,0.199,0.10945,0.52407,3.62068,1.15897,0.000473438,0.000157812,0.000473438,0.000157812,0.000473438,0.000157812,0.000473438,0.000157812
27,98.3594,1.04747,3.17686,1.51915,0.01818,1,0.16583,0.1374,0.54868,3.62751,1.18923,0.00047307,0.00015769,0.00047307,0.00015769,0.00047307,0.00015769,0.00047307,0.00015769
28,98.8981,0.8299,3.27922,1.23792,0.01818,1,0.16583,0.1374,0.54868,3.62751,1.18923,0.000471217,0.000157072,0.000471217,0.000157072,0.000471217,0.000157072,0.000471217,0.000157072
29,103.136,1.00619,3.40965,1.36509,0.01754,1,0.24875,0.22387,0.54033,3.6171,1.21292,0.00046788,0.00015596,0.00046788,0.00015596,0.00046788,0.00015596,0.00046788,0.00015596
30,103.7,0.98157,3.26119,1.37007,0.01754,1,0.24875,0.22387,0.54033,3.6171,1.21292,0.000463058,0.000154352,0.000463058,0.000154352,0.000463058,0.000154352,0.000463058,0.000154352
31,107.786,0.60931,3.58581,1.42955,0.01754,1,0.24875,0.22387,0.54438,3.61839,1.22007,0.00045675,0.00015225,0.00045675,0.00015225,0.00045675,0.00015225,0.00045675,0.00015225
32,108.37,0.74431,3.41182,1.36807,0.01754,1,0.24875,0.22387,0.54438,3.61839,1.22007,0.000448957,0.000149652,0.000448957,0.000149652,0.000448957,0.000149652,0.000448957,0.000149652
33,112.532,0.63497,3.29532,1.32207,0.01852,1,0.24875,0.22387,0.54237,3.68347,1.23178,0.00043968,0.00014656,0.00043968,0.00014656,0.00043968,0.00014656,0.00043968,0.00014656
34,113.104,0.89024,3.23276,1.29695,0.01852,1,0.24875,0.22387,0.54237,3.68347,1.23178,0.000428917,0.000142972,0.000428917,0.000142972,0.000428917,0.000142972,0.000428917,0.000142972
35,117.394,0.88465,3.37984,1.44423,0.01852,1,0.24875,0.22387,0.54077,3.73694,1.2354,0.00041667,0.00013889,0.00041667,0.00013889,0.00041667,0.00013889,0.00041667,0.00013889
36,117.964,0.6897,3.20484,1.23083,0.01852,1,0.24875,0.22387,0.54077,3.73694,1.2354,0.000402938,0.000134313,0.000402938,0.000134313,0.000402938,0.000134313,0.000402938,0.000134313
37,122.207,0.52013,3.25637,1.19549,0.01887,1,0.24875,0.22387,0.54225,3.78902,1.24109,0.00038772,0.00012924,0.00038772,0.00012924,0.00038772,0.00012924,0.00038772,0.00012924
38,122.725,1.01426,3.56732,1.62639,0.01887,1,0.24875,0.22387,0.54225,3.78902,1.24109,0.000371018,0.000123672,0.000371018,0.000123672,0.000371018,0.000123672,0.000371018,0.000123672
39,126.843,1.12556,3.32219,1.40901,0.01852,1,0.24875,0.22387,0.54756,3.71692,1.23088,0.00035283,0.00011761,0.00035283,0.00011761,0.00035283,0.00011761,0.00035283,0.00011761
40,127.362,0.56804,3.12939,1.1935,0.01852,1,0.24875,0.22387,0.54756,3.71692,1.23088,0.000333157,0.000111052,0.000333157,0.000111052,0.000333157,0.000111052,0.000333157,0.000111052
41,131.668,0.60203,4.09366,1.25261,0.01887,1,0.24875,0.22387,0.57688,3.69254,1.23172,0.000312,0.000104,0.000312,0.000104,0.000312,0.000104,0.000312,0.000104
42,132.205,0.53022,4.01244,1.27718,0.01887,1,0.24875,0.22387,0.57688,3.69254,1.23172,0.000289358,9.64525e-05,0.000289358,9.64525e-05,0.000289358,9.64525e-05,0.000289358,9.64525e-05
43,136.467,0.75276,4.10344,1.24467,0.01887,1,0.24875,0.22387,0.58174,3.68583,1.22719,0.00026523,8.841e-05,0.00026523,8.841e-05,0.00026523,8.841e-05,0.00026523,8.841e-05
44,137.05,0.62944,3.92158,1.27264,0.01887,1,0.24875,0.22387,0.58174,3.68583,1.22719,0.000239618,7.98725e-05,0.000239618,7.98725e-05,0.000239618,7.98725e-05,0.000239618,7.98725e-05
45,141.529,0.68965,4.26949,1.17415,0.01887,1,0.199,0.1791,0.60163,3.66486,1.23393,0.00021252,7.084e-05,0.00021252,7.084e-05,0.00021252,7.084e-05,0.00021252,7.084e-05
46,142.081,1.00404,3.95124,1.79517,0.01887,1,0.199,0.1791,0.60163,3.66486,1.23393,0.000183937,6.13125e-05,0.000183937,6.13125e-05,0.000183937,6.13125e-05,0.000183937,6.13125e-05
47,146.438,0.75931,4.27797,1.31124,0.01961,1,0.199,0.1791,0.58931,3.70213,1.23678,0.00015387,5.129e-05,0.00015387,5.129e-05,0.00015387,5.129e-05,0.00015387,5.129e-05
48,147.038,0.54387,4.09576,1.04603,0.01961,1,0.199,0.1791,0.58931,3.70213,1.23678,0.000122318,4.07725e-05,0.000122318,4.07725e-05,0.000122318,4.07725e-05,0.000122318,4.07725e-05
49,151.318,0.76459,4.70944,0.9956,0.01818,1,0.199,0.1791,0.56154,3.83435,1.24984,8.928e-05,2.976e-05,8.928e-05,2.976e-05,8.928e-05,2.976e-05,8.928e-05,2.976e-05
50,151.858,0.49022,3.81221,1.11546,0.01818,1,0.199,0.1791,0.56154,3.83435,1.24984,5.47575e-05,1.82525e-05,5.47575e-05,1.82525e-05,5.47575e-05,1.82525e-05,5.47575e-05,1.82525e-05
