epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,408.215,0.38275,2.95804,1.07445,0.00513,1,0.73389,0.68392,0.37406,3.55001,1.03977,0.000942083,0.000314028,0.000942083,0.000314028,0.000942083,0.000314028,0.000942083,0.000314028
31,414.344,0.45257,3.07851,1.04095,0.00513,1,0.73389,0.68392,0.37406,3.55001,1.03977,0.000928725,0.000309575,0.000928725,0.000309575,0.000928725,0.000309575,0.000928725,0.000309575
32,426.24,0.53271,3.02097,1.18048,0.00516,1,0.73344,0.68817,0.3717,3.54585,1.03799,0.000912397,0.000304132,0.000912397,0.000304132,0.000912397,0.000304132,0.000912397,0.000304132
33,438.081,0.57693,3.01775,1.04792,0.00512,1,0.7509,0.70495,0.3711,3.53382,1.03423,0.0008931,0.0002977,0.0008931,0.0002977,0.0008931,0.0002977,0.0008931,0.0002977
34,444.15,0.54779,3.16851,1.16605,0.00512,1,0.7509,0.70495,0.3711,3.53382,1.03423,0.000870832,0.000290277,0.000870832,0.000290277,0.000870832,0.000290277,0.000870832,0.000290277
35,455.794,0.66174,2.99132,1.2433,0.00511,1,0.75725,0.70418,0.3765,3.51969,1.04644,0.000845595,0.000281865,0.000845595,0.000281865,0.000845595,0.000281865,0.000845595,0.000281865
36,467.596,0.64996,2.97988,1.27842,0.00512,1,0.77831,0.72331,0.38238,3.50743,1.04789,0.000817388,0.000272463,0.000817388,0.000272463,0.000817388,0.000272463,0.000817388,0.000272463
37,473.761,0.46454,2.96381,1.0822,0.00512,1,0.77831,0.72331,0.38238,3.50743,1.04789,0.00078621,0.00026207,0.00078621,0.00026207,0.00078621,0.00026207,0.00078621,0.00026207
38,485.44,0.61917,3.03216,1.23872,0.00512,1,0.77722,0.72205,0.38222,3.50229,1.04138,0.000752063,0.000250687,0.000752063,0.000250687,0.000752063,0.000250687,0.000752063,0.000250687
39,497.482,0.61031,3.0338,1.20066,0.00515,1,0.79889,0.74161,0.38175,3.47983,1.04358,0.000714945,0.000238315,0.000714945,0.000238315,0.000714945,0.000238315,0.000714945,0.000238315
40,503.93,0.40231,2.93153,1.03715,0.00515,1,0.79889,0.74161,0.38175,3.47983,1.04358,0.000674857,0.000224952,0.000674857,0.000224952,0.000674857,0.000224952,0.000674857,0.000224952
41,515.726,0.48371,3.49242,1.08847,0.00517,1,0.81222,0.75228,0.39013,3.46473,1.03748,0.0006318,0.0002106,0.0006318,0.0002106,0.0006318,0.0002106,0.0006318,0.0002106
42,527.642,0.39132,3.62756,1.06517,0.00518,1,0.83111,0.77092,0.39118,3.43124,1.04638,0.000585773,0.000195258,0.000585773,0.000195258,0.000585773,0.000195258,0.000585773,0.000195258
43,533.684,0.43608,3.56755,1.02409,0.00518,1,0.83111,0.77092,0.39118,3.43124,1.04638,0.000536775,0.000178925,0.000536775,0.000178925,0.000536775,0.000178925,0.000536775,0.000178925
44,545.266,0.57872,3.58384,1.12222,0.00516,1,0.83667,0.79356,0.38847,3.39589,1.03996,0.000484808,0.000161603,0.000484808,0.000161603,0.000484808,0.000161603,0.000484808,0.000161603
45,551.508,0.36263,3.40174,0.99061,0.00516,1,0.83667,0.79356,0.38847,3.39589,1.03996,0.00042987,0.00014329,0.00042987,0.00014329,0.00042987,0.00014329,0.00042987,0.00014329
46,563.416,0.44222,3.46972,1.17778,0.00507,1,0.83667,0.8027,0.3752,3.37476,1.02873,0.000371962,0.000123987,0.000371962,0.000123987,0.000371962,0.000123987,0.000371962,0.000123987
47,569.471,0.3307,3.40805,1.05438,0.00507,1,0.83667,0.8027,0.3752,3.37476,1.02873,0.000311085,0.000103695,0.000311085,0.000103695,0.000311085,0.000103695,0.000311085,0.000103695
48,582.523,0.25173,3.33114,0.9036,0.005,1,0.82714,0.74436,0.37329,3.35554,1.02726,0.000247238,8.24125e-05,0.000247238,8.24125e-05,0.000247238,8.24125e-05,0.000247238,8.24125e-05
49,589.163,0.46175,3.39794,1.15915,0.005,1,0.82714,0.74436,0.37329,3.35554,1.02726,0.00018042,6.014e-05,0.00018042,6.014e-05,0.00018042,6.014e-05,0.00018042,6.014e-05
50,601.496,0.36637,3.35887,1.0393,0.00497,1,0.8278,0.74622,0.37562,3.32662,1.03104,0.000110633,3.68775e-05,0.000110633,3.68775e-05,0.000110633,3.68775e-05,0.000110633,3.68775e-05
